timestamp;faixa_etaria;situacao_profissional;renda_mensal;controla_gastos;como_controla_gastos;freq_registro_gastos;ultrapassa_orcamento;planeja_gastos;tem_reserva_emergencia;faz_investimento;tipo_investimento;nota_educ_financeira;interesse_aprender;fez_curso_financas;fontes_informacao;educ_financeira_escola;se_sim_o_quao_eficiente_voce_sentiu_que_foram_essas_aulas_nao_responda_caso_nao_tenha_tido_aulas;sente_falta_educ;acredita_ferramentas_digitais;entende_conceitos_basicos;temas_dificeis;dificuldade_aprendizado;usou_app_financeiro;se_sim_qual_foi_sua_experiencia_nao_responda_caso_nao_tenha_tido_experiencia;desejo_sistema;formato_aprendizado;maior_dificuldade_dinheiro;dashboard_ajudaria;tipo_ajuda_util;esta_inadimplente;tipos_pendencias;freq_dificuldade_pagamento;voce_teria_interesse_em_usar_um_app_site_de_controle_financeiro_que_alem_de_organizar_seus_gastos_tambem_ofereca_conteudos_e_orientacoes_para_melhorar_sua_educacao_financeira
2026-05-05 20:07:38;18 A 24 Anos;Autônomo / Freelancer;1 A 2 Salários Mínimos;Não;Não controlo;Não registro;Nunca;Sempre;Não;Não;Não se aplica;3;Talvez;Sim;Youtube, Redes Sociais;Sim;4.0;Sim;Sim;Sim, bem;Dívidas;Não se aplica;Não;Não se aplica;registro de gastos de forma prática ;Vídeos, Aplicativos, Cursos online, Redes sociais;Economizar;Talvez;Gráficos e visualização de gastos;Não;Não possuo pendências;Às vezes;Sim
2026-05-05 20:10:12;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Anotações (caderno/bloco de notas);Raramente;Raramente;Sempre;Estou Construindo;Sim;Não se aplica;2;Sim;Não;Bancos;Não;3.0;Parcialmente;Sim;Parcialmente;Investimentos, Planejamento financeiro, Dívidas;Pouca base ;Não;Não se aplica;Não se aplica;Aplicativos, Artigos;Entender finanças;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 20:10:28;18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Às vezes;Não controlo;Raramente;Raramente;Raramente;Sim;Sim;Selic, CDB e ações ;3;Sim;Sim;Youtube, Redes Sociais;Sim;2.0;Não;Sim;Sim, bem;Investimentos;Tempo;Não;Não se aplica;Não se aplica;Vídeos;Investimentos;Talvez;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Talvez
2026-05-05 20:18:07;35 A 44 Anos;Autônomo / Freelancer;Mais De 5 Salários Mínimos;Sim;Planilhas;Semanalmente;Às vezes;Sempre;Sim;Sim;Investimento em imóveis ;4;Talvez;Sim;Cursos Online;Não;3.0;Sim;Sim;Parcialmente;Juros;Informações controversas ;Não;Não se aplica;Efetividade ;Artigos;Entender finanças;Talvez;Gráficos e visualização de gastos;Não;Não possuo pendências;Raramente;Talvez
2026-05-05 20:18:26;Menos De 18 Anos;Estudante;Não Possuo Renda Fixa;Não;Não controlo;Raramente;Não tenho orçamento mensal;Não possuo renda fixa, portanto não planejo;Não;Não;Não se aplica;2;Sim;Sim;Youtube, Redes Sociais;Sim;3.0;Sim;Sim;Parcialmente;Investimentos, Planejamento financeiro, Juros;Falta de oportunidades;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Redes sociais;Controlar gastos, Entender finanças;Sim;Conteúdos educativos;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 20:20:09;18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Às vezes;na cabeça ;Raramente;Às vezes;Às vezes;Estou Construindo;Sim;dupla chance al hilal kkkkk, brincadeira, invisto em ouro;4;Sim;Sim;Youtube, Redes Sociais, Cursos Online;Sim;2.0;Parcialmente;Sim;Sim, bem;Controle de gastos;vergonha na cara, confesso que tenho preguiça ;Não;Não se aplica;planilhas de gastos;Vídeos, Aplicativos, Cursos online;Controlar gastos, Economizar;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Raramente;Sim
2026-05-05 20:20:23;18 A 24 Anos;Estagiário;Não Possuo Renda Fixa;Não;Não controlo;Raramente;Às vezes;Raramente;Sim;Não;Não se aplica;3;Sim;Não;Redes Sociais;Não;1.0;Parcialmente;Sim;Muito pouco;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos;Economizar;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Raramente;Sim
2026-05-05 20:21:48;25 A 34 Anos;Desempregado;Não Possuo Renda Fixa;Não;Não controlo;Raramente;Às vezes;Não possuo renda fixa, portanto não planejo;Sim;Sim;CDB;4;Talvez;Não;Não busco informações;Não;1.0;Sim;Sim;Parcialmente;Investimentos, Juros;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Artigos;Economizar, Entender finanças;Não sei o que é dashboard;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Talvez
2026-05-05 20:23:51;18 A 24 Anos;Empregado (Clt);Até 1 Salário Mínimo;Às vezes;Planilhas;Semanalmente;Às vezes;Às vezes;Estou Construindo;Não;Não se aplica;3;Sim;Não;Youtube, Redes Sociais;Sim;1.0;Sim;Sim;Parcialmente;Investimentos;Explicações que priorizam uma linguagem muito técnica;Não;Não se aplica;Um visual limpo e rápido de entender, juntamente com um resumo semanal e mensal;Aplicativos;Controlar gastos, Economizar;Sim;Planejamento automático;Não;Não possuo pendências;Raramente;Sim
2026-05-05 20:27:18;18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Às vezes;Anotações (caderno/bloco de notas);Semanalmente;Raramente;Às vezes;Sim;Sim;Não se aplica;4;Sim;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;4.0;Sim;Sim;Sim, bem;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Cursos online;Planejar o mês;Talvez;Planejamento automático;Não;Não possuo pendências;Raramente;Sim
