modalidade;porte;carteira_ativa_total;inadimplida_total;taxa_inadimplencia_pct
PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos;PJ - Micro                                   ;680412823643;23079978639;3.39
PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos;PJ - Médio                                   ;8319468907719;80204445587;0.96
PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos;PJ - Pequeno                                 ;2339688084757;60111413798;2.57
PJ - Habitacional;PJ - Grande                                  ;1443058700759;5048083607;0.35
PJ - Habitacional;PJ - Indisponível                            ;595840224409;13253909665;2.22
PJ - Habitacional;PJ - Micro                                   ;372150914567;4442505238;1.19
PJ - Habitacional;PJ - Médio                                   ;1917629119756;21597566145;1.13
PJ - Habitacional;PJ - Pequeno                                 ;527876802647;6939786939;1.31
PJ - Investimento;PJ - Grande                                  ;8943965981106;15471884169;0.17
PJ - Investimento;PJ - Indisponível                            ;923888284559;13559447341;1.47
PJ - Investimento;PJ - Micro                                   ;1643956104422;85483321410;5.2
PJ - Investimento;PJ - Médio                                   ;9913118308251;275990258572;2.78
PJ - Investimento;PJ - Pequeno                                 ;6137223043663;298995252920;4.87
PJ - Operações com recebíveis;PJ - Grande                                  ;10508040180236;11670788326;0.11
PJ - Operações com recebíveis;PJ - Indisponível                            ;2714126039772;3450523069;0.13
PJ - Operações com recebíveis;PJ - Micro                                   ;496657080418;6132116235;1.23
PJ - Operações com recebíveis;PJ - Médio                                   ;3811963013263;59568745843;1.56
PJ - Operações com recebíveis;PJ - Pequeno                                 ;1148850141636;45666116724;3.97
PJ - Outros créditos;PJ - Grande                                  ;6520111037632;147820691590;2.27
PJ - Outros créditos;PJ - Indisponível                            ;467517073703;67417672611;14.42
PJ - Outros créditos;PJ - Micro                                   ;945574002842;168973268212;17.87
PJ - Outros créditos;PJ - Médio                                   ;3990016779437;487173785919;12.21
PJ - Outros créditos;PJ - Pequeno                                 ;4010839549801;790268675891;19.7
PJ - Rural e agroindustrial;PJ - Grande                                  ;5736045408041;11211670591;0.2
PJ - Rural e agroindustrial;PJ - Indisponível                            ;46206140250;50202958;0.11
PJ - Rural e agroindustrial;PJ - Micro                                   ;39957359775;432573914;1.08
PJ - Rural e agroindustrial;PJ - Médio                                   ;851766789302;14037392234;1.65
PJ - Rural e agroindustrial;PJ - Pequeno                                 ;180467292784;2136861949;1.18
