controla_gastos;como_controla_gastos;freq_registro_gastos;ultrapassa_orcamento;planeja_gastos;maior_dificuldade_dinheiro;freq_dificuldade_pagamento
Sim;Anotações (caderno/bloco de notas);Semanalmente;Às vezes;Às vezes;Círculo social;Nunca
Sim;Planilhas;Diariamente;Frequentemente;Raramente;Controlar gastos, Economizar;Raramente
Às vezes;Anotações (caderno/bloco de notas);Não registro;Não tenho orçamento mensal;Sempre;Entender finanças;Não pago contas
Sim;Planilhas;Semanalmente;Frequentemente;Às vezes;Controlar gastos, Economizar;Às vezes
Às vezes;Planilhas;Semanalmente;Frequentemente;Sempre;Controlar gastos, Economizar, Planejar o mês, Entender finanças;Às vezes
Sim;Planilhas;Semanalmente;Às vezes;Raramente;Controlar gastos;Nunca
Sim;Aplicativos;Semanalmente;Raramente;Sempre;Controlar gastos;Raramente
Sim;Planilhas;Semanalmente;Às vezes;Sempre;Planejar o mês, Entender finanças;Às vezes
Sim;Planilhas;Semanalmente;Raramente;Sempre;Entender finanças;Nunca
Sim;eu uso os cofrinhos do meu banco;Não registro;Raramente;Sempre;Controlar gastos, Planejar o mês;Às vezes
